"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_time","profit_payments","other_payments","top_income_rate","threshold_top_income_rate","tax_wedge","labor_payments","labor_time","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","consumption_time","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"AT","AUT","Austria",2014,0.25,0,75,0.813463195231154,0.391406012913837,0.737888702767901,1,0,0,0.12,0,49,1,8,0.5,14.163515,1.11433483196536,3,54,0.25,0,0.25,20,34987.893314216,0.586919286003647,67,0,0.0913282337649062,0,0,1,1,1,0,1,1,0,0.25,0,0.2,84,0,0.5
"AU","AUS","Australia",2014,0.3,0,100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,0,0.1425,0,37,1,6,0.465,2.32037,1.41658992852871,4,18,0.2325,0,0.27121,10,48730.6403375008,0.467011342751592,54,1,0.719402688141774,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.333333333333333,0.5
"BE","BEL","Belgium",2014,0.3399,0,100,0.875897349190039,0.622404878792567,1.01486525392967,1,1,1,0.155,0,20,1,8,0.537,1.009416,1.19485145145329,2,40,0,1,0.25,21,6319.04976005039,0.477677752874761,71,0.5,0.53186063764287,0,1,1,1,0,1,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5
"CA","CAN","Canada",2014,0.262,3,20,0.965116279069767,0.242105263157895,0.518965517241379,0.5,0,0,0.245,0,45,1,4,0.495296,10.605125,1.20067371923594,3,36,0.2475,0,0.338414,15.6,23453.725818895,0.470298738607534,50,0.5,1.54870621673407,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.333333333333333,0.5
"CH","CHE","Switzerland",2014,0.21148581,0,7,0.86,0.554838709677419,0.905263157894737,1,0,0,-0.01,0,15,2,10,0.4167,3.325717,1.35719908398052,7,40,0,1,0.21135,8,63826.8268100133,0.701492422855953,8,0.5,0.0605136227032418,1,1,1,1,1,1,1,1,0,0.35,0.35,0,89,0,0.5
"CL","CHL","Chile",2014,0.21,100,100,0.632611659769417,0.338474732816403,0,0.5,0,0,0.315,0,42,1,5,0.4,10.408629,1.16232674390651,1,124.5,0.2,0,0.24050633,19,0,0.645633946900287,124.5,0.5,0.428327306675783,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,25,0,0.5
"CO","COL","Colombia",2014,0.34,0,100,0.737888702767901,0.547953910556565,0.869865253929667,0.5,0,0,0.31,0,50,1,8,0.33,11.453029,0,1,87,0.1,NA,0,16,0,0.462436548644921,66,0.5,0.412846043029416,0,0,1,0,0,1,1,0,0,0.33,0.33,0.33,4,0,0.5
"CZ","CZE","Czech Republic",2014,0.19,0,5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,0,0.175,0,53,1,5,0.15,3e-06,1.13823596841137,2,75,0,1,0.15,21,67707.9535587165,0.565403520556444,102,0.5,0.0918800616810772,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,83,0,0.5
"DE","DEU","Germany",2014,0.2970721,1,60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,0,-0.02,0,30,2,6,0.47475,5.77971,1.10363967520792,1,134,0.25,0,0.26375,19,21297.5222109729,0.555258796744905,43,0.5,0.19591401085014,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,94,0.333333333333333,1
"DK","DNK","Denmark",2014,0.245,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,-0.01,0,25,3,6,0.55564,1.16303,1.27585324786518,1,65,0.42,0,0.42,25,5879.07638734969,0.586333387440689,40,0.5,0.66622719497477,0,1,1,0,0,0,1,1,1,0.27,0.25,0.25,73,0.666666666666667,0.5
